delivered_impression,datetime
481,2022-04-09T05:35:18Z
482,2022-04-09T05:35:42Z
482,2022-04-09T05:36:05Z
482,2022-04-09T05:36:29Z
483,2022-04-09T05:36:52Z
484,2022-04-09T05:37:16Z
485,2022-04-09T05:37:39Z
485,2022-04-09T05:38:03Z
485,2022-04-09T05:38:26Z
486,2022-04-09T05:38:50Z
487,2022-04-09T05:39:14Z
487,2022-04-09T05:39:37Z
488,2022-04-09T05:40:01Z
489,2022-04-09T05:40:24Z
489,2022-04-09T05:40:48Z
489,2022-04-09T05:41:11Z
490,2022-04-09T05:41:35Z
491,2022-04-09T05:41:58Z
492,2022-04-09T05:42:22Z
492,2022-04-09T05:42:45Z
492,2022-04-09T05:43:09Z
493,2022-04-09T05:43:32Z
494,2022-04-09T05:43:56Z
494,2022-04-09T05:44:19Z
495,2022-04-09T05:44:43Z
496,2022-04-09T05:45:06Z
496,2022-04-09T05:45:30Z
496,2022-04-09T05:45:54Z
497,2022-04-09T05:46:17Z
498,2022-04-09T05:46:41Z
498,2022-04-09T05:47:04Z
499,2022-04-09T05:47:28Z
500,2022-04-09T05:47:51Z
500,2022-04-09T05:48:15Z
500,2022-04-09T05:48:38Z
501,2022-04-09T05:49:02Z
502,2022-04-09T05:49:25Z
503,2022-04-09T05:49:49Z
503,2022-04-09T05:50:12Z
503,2022-04-09T05:50:36Z
504,2022-04-09T05:50:59Z
505,2022-04-09T05:51:23Z
506,2022-04-09T05:51:46Z
506,2022-04-09T05:52:10Z
506,2022-04-09T05:52:34Z
507,2022-04-09T05:52:57Z
508,2022-04-09T05:53:21Z
509,2022-04-09T05:53:44Z
509,2022-04-09T05:54:08Z
509,2022-04-09T05:54:31Z
510,2022-04-09T05:54:55Z
511,2022-04-09T05:55:18Z
511,2022-04-09T05:55:42Z
511,2022-04-09T05:56:05Z
512,2022-04-09T05:56:29Z
513,2022-04-09T05:56:52Z
514,2022-04-09T05:57:16Z
515,2022-04-09T05:57:39Z
515,2022-04-09T05:58:03Z
515,2022-04-09T05:58:26Z
515,2022-04-09T05:58:50Z
516,2022-04-09T05:59:14Z
517,2022-04-09T05:59:37Z
518,2022-04-09T06:00:01Z
519,2022-04-09T06:00:24Z
519,2022-04-09T06:00:48Z
519,2022-04-09T06:01:11Z
520,2022-04-09T06:01:35Z
521,2022-04-09T06:01:58Z
521,2022-04-09T06:02:22Z
521,2022-04-09T06:02:45Z
522,2022-04-09T06:03:09Z
523,2022-04-09T06:03:32Z
524,2022-04-09T06:03:56Z
524,2022-04-09T06:04:19Z
524,2022-04-09T06:04:43Z
525,2022-04-09T06:05:06Z
526,2022-04-09T06:05:30Z
527,2022-04-09T06:05:54Z
527,2022-04-09T06:06:17Z
527,2022-04-09T06:06:41Z
528,2022-04-09T06:07:04Z
529,2022-04-09T06:07:28Z
530,2022-04-09T06:07:51Z
530,2022-04-09T06:08:15Z
530,2022-04-09T06:08:38Z
531,2022-04-09T06:09:02Z
532,2022-04-09T06:09:25Z
532,2022-04-09T06:09:49Z
532,2022-04-09T06:10:12Z
533,2022-04-09T06:10:36Z
534,2022-04-09T06:10:59Z
535,2022-04-09T06:11:23Z
536,2022-04-09T06:11:46Z
