ad_unit_name,market,ad_network,os,slot,format,page
fb-android-article-top-display-jp-exp2,JP,fb,android,top,display,article
am-android-article-top-display-jp-exp2-high,JP,gam,android,top,display,article
am-android-article-top-display-jp-exp2-medium,JP,gam,android,top,display,article
am-android-article-top-display-jp-exp2-low,JP,gam,android,top,display,article
fb-android-foryou-large-native-jp-exp2,JP,fb,android,large,native,foryou
am-android-foryou-large-native-jp-exp2-high,JP,gam,android,large,native,foryou
am-android-foryou-large-native-jp-exp2-medium,JP,gam,android,large,native,foryou
am-android-foryou-large-native-jp-exp2-low,JP,gam,android,large,native,foryou
fb-ios-article-related-native-jp-exp2,JP,fb,ios,related,native,article
am-ios-article-related-native-jp-exp2-high,JP,gam,ios,related,native,article
am-ios-article-related-native-jp-exp2-medium,JP,gam,ios,related,native,article
am-ios-article-related-native-jp-exp2-low,JP,gam,ios,related,native,article
fb-ios-article-top-display-jp-exp2,JP,fb,ios,top,display,article
am-ios-article-top-display-jp-exp2-high,JP,gam,ios,top,display,article
am-ios-article-top-display-jp-exp2-medium,JP,gam,ios,top,display,article
am-ios-article-top-display-jp-exp2-low,JP,gam,ios,top,display,article
fb-ios-foryou-large-native-jp-exp2,JP,fb,ios,large,native,foryou
am-ios-foryou-large-native-jp-exp2-high,JP,gam,ios,large,native,foryou
am-ios-foryou-large-native-jp-exp2-medium,JP,gam,ios,large,native,foryou
am-ios-foryou-large-native-jp-exp2-low,JP,gam,ios,large,native,foryou
fb-android-foryou-large-native-viewable-ctrl,US,fb,android,large,native,foryou
am-android-foryou-large-native-viewable-ctrl-high,US,gam,android,large,native,foryou
am-android-foryou-large-native-viewable-ctrl-medium,US,gam,android,large,native,foryou
am-android-foryou-large-native-viewable-ctrl-low,US,gam,android,large,native,foryou
fb-android-foryou-large-native-viewable-dedupe,US,fb,android,large,native,foryou
am-android-foryou-large-native-viewable-dedupe-high,US,gam,android,large,native,foryou
am-android-foryou-large-native-viewable-dedupe-medium,US,gam,android,large,native,foryou
am-android-foryou-large-native-viewable-dedupe-low,US,gam,android,large,native,foryou
fb-android-foryou-large-native-viewable-position,US,fb,android,large,native,foryou
am-android-foryou-large-native-viewable-position-high,US,gam,android,large,native,foryou
am-android-foryou-large-native-viewable-position-medium,US,gam,android,large,native,foryou
am-android-foryou-large-native-viewable-position-low,US,gam,android,large,native,foryou
am-ios-article-related-native-ds-high,US,gam,ios,related,native,article
am-android-foryou-large-native-backfill,US,gam,android,large,native,foryou
am-android-article-related-native-backfill,US,gam,android,related,native,article
am-android-article-inside-display-backfill,US,gam,android,inside,display,article
am-android-article-top-display-backfill,US,gam,android,top,display,article
am-ios-foryou-large-native-backfill,US,gam,ios,large,native,foryou
am-ios-article-related-native-backfill,US,gam,ios,related,native,article
am-ios-article-inside-display-backfill,US,gam,ios,inside,display,article
am-ios-article-top-display-backfill,US,gam,ios,top,display,article
fb-android-foryou-large-native-creative-freqcap,US,fb,android,large,native,foryou
am-android-foryou-large-native-creative-freqcap-high,US,gam,android,large,native,foryou
am-android-foryou-large-native-creative-freqcap-medium,US,gam,android,large,native,foryou
am-android-foryou-large-native-creative-freqcap-low,US,gam,android,large,native,foryou
gam360-android-article-top-display-ob-low,US,gam360,android,top,display,article
am-ios-foryou-large-native-ds-high,US,gam,ios,large,native,foryou
fb-android-foryou-large-native-cf-1,US,fb,android,large,native,foryou
am-android-foryou-large-native-cf-1-high,US,gam,android,large,native,foryou
am-android-foryou-large-native-cf-1-medium,US,gam,android,large,native,foryou
am-android-foryou-large-native-cf-1-low,US,gam,android,large,native,foryou
fb-android-foryou-large-native-cf-2,US,fb,android,large,native,foryou
am-android-foryou-large-native-cf-2-high,US,gam,android,large,native,foryou
am-android-foryou-large-native-cf-2-medium,US,gam,android,large,native,foryou
